title,platform,psd_URL,icon_URL,price,status
007 First Light,PS5,https://psdeals.net/ua-store/game/3227035/007-first-light,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3969-PPSA11386_00-007FIRSTLIGHT000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,299.00₴",1
Alone in the Dark,PS5,https://psdeals.net/ua-store/game/2599714/alone-in-the-dark,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4389-PPSA08135_00-ALONEINTHEDARKEU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
CONTROL Resonant,PS5,https://psdeals.net/ua-store/game/3237330/control-resonant,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5291-PPSA34547_00-0210080241603648/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",1
Clair Obscur: Expedition 33,PS5,https://psdeals.net/ua-store/game/2912116/clair-obscur-expedition-33,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7579-PPSA17599_00-EXP33000000PS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,499.00₴",1
Cronos: The New Dawn,PS5,https://psdeals.net/ua-store/game/3031123/cronos-the-new-dawn,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4176-PPSA24096_00-TITAN00000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",1
Cuphead & The Delicious Last Course,PS4,https://psdeals.net/ua-store/game/2404934/cuphead-the-delicious-last-course,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP8254-CUSA20469_00-4979936889641357/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,879.00₴,1
Cyberpunk 2077: Полное издание (PS5),PS5 / PS4,https://psdeals.net/ua-store/game/2607614/cyberpunk-2077-%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4497-PPSA04027_00-EXPANSION1B00000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,299.00₴",1
Doki Doki Literature Club Plus!,PS5 / PS4,https://psdeals.net/ua-store/game/2223146/doki-doki-literature-club-plus,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0600-PPSA03733_00-DOKIDOKILITCLUBP/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,409.00₴,1
FlatOut 4 - Total Insanity,PS4,https://psdeals.net/ua-store/game/955780/flatout-4-total-insanity,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4008-CUSA07458_00-FLATOUT400000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,399.00₴,1
Forza Horizon 5 Standard Edition,PS5,https://psdeals.net/ua-store/game/2931196/forza-horizon-5-standard-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP6312-PPSA22327_00-0629872585919347/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
